robot_id,episode_id,success,collision,goal_reached,episode_steps,episode_reward,final_step_reward,lidar_dim
0,1,0,1,0,1,-21.5,-21.5,360
1,1,0,1,0,1,-21.5,-21.5,360
2,1,0,1,0,1,-21.5,-21.5,360
3,1,0,1,0,1,-21.5,-21.5,360
4,1,0,1,0,1,-21.5,-21.5,360
5,1,0,1,0,1,-21.5,-21.5,360
6,1,0,1,0,1,-21.5,-21.5,360
7,1,0,1,0,1,-21.5,-21.5,360
8,1,0,1,0,1,-21.5,-21.5,360
1,2,0,1,0,1269,-636.7717328071594,-21.463934886455537,360
5,2,0,1,0,1646,-389.9851312637329,-21.457811135053635,360
2,2,0,1,0,1682,-378.1984484195709,-21.452963194251062,360
4,2,0,1,0,1866,-132.925939142704,-21.466989582777025,360
0,2,1,0,1,1984,1076.5229277014732,48.59190118908882,360
3,2,1,0,1,2036,1022.4787528514862,48.59302142262459,360
8,2,0,1,0,2405,510.6980178952217,-21.479421079158783,360
7,2,0,1,0,2435,521.8441998958588,-21.479660592973232,360
6,2,0,1,0,2559,703.5207041501999,-21.478610369563103,360
2,3,0,1,0,1228,-532.551042497158,-21.47778493463993,360
1,3,1,0,1,1998,1059.7136757969856,48.592217528820036,360
1,4,1,0,1,1,48.5,48.5,360
4,3,0,1,0,1584,-382.57361298799515,-21.463696750998498,360
0,3,0,1,0,1542,-464.02162182331085,-21.457477217912675,360
2,4,0,1,0,1098,-424.33819222450256,-19.21210722923279,360
5,3,0,1,0,2401,610.4792481660843,-21.479476861655712,360
3,3,1,0,1,2032,1037.2907142043114,48.59188644289971,360
3,4,1,0,1,1,48.5,48.5,360
4,4,0,1,0,1162,-492.2530146241188,-21.479982694983484,360
1,5,0,1,0,1359,-580.5323314666748,-21.46109194457531,360
8,3,0,1,0,2402,510.18451350927353,-21.478836123645305,360
7,3,0,1,0,2487,644.1132155060768,-21.47862605303526,360
